_key,season,home_team_name,away_team_name,half_time_score,full_time_score,full_time_result,home_GK_name,home_GK_assistence,home_GK_won_contest,home_GK_tackles,home_GK_goals,home_GK_red_card,home_GK_yellow_card,home_GK_touches,home_GK_lost,home_GK_rate,home_GK_fouls,home_GK_blocks,home_DC_name,home_DC_assistence,home_DC_won_contest,home_DC_tackles,home_DC_goals,home_DC_red_card,home_DC_yellow_card,home_DC_touches,home_DC_lost,home_DC_rate,home_DC_fouls,home_DC_blocks,home_DR_name,home_DR_assistence,home_DR_won_contest,home_DR_tackles,home_DR_goals,home_DR_red_card,home_DR_yellow_card,home_DR_touches,home_DR_lost,home_DR_rate,home_DR_fouls,home_DR_blocks,home_DL_name,home_DL_assistence,home_DL_won_contest,home_DL_tackles,home_DL_goals,home_DL_red_card,home_DL_yellow_card,home_DL_touches,home_DL_lost,home_DL_rate,home_DL_fouls,home_DL_blocks,home_DMC_name,home_DMC_assistence,home_DMC_won_contest,home_DMC_tackles,home_DMC_goals,home_DMC_red_card,home_DMC_yellow_card,home_DMC_touches,home_DMC_lost,home_DMC_rate,home_DMC_fouls,home_DMC_blocks,home_ML_name,home_ML_assistence,home_ML_won_contest,home_ML_tackles,home_ML_goals,home_ML_red_card,home_ML_yellow_card,home_ML_touches,home_ML_lost,home_ML_rate,home_ML_fouls,home_ML_blocks,home_MR_name,home_MR_assistence,home_MR_won_contest,home_MR_tackles,home_MR_goals,home_MR_red_card,home_MR_yellow_card,home_MR_touches,home_MR_lost,home_MR_rate,home_MR_fouls,home_MR_blocks,home_MC_name,home_MC_assistence,home_MC_won_contest,home_MC_tackles,home_MC_goals,home_MC_red_card,home_MC_yellow_card,home_MC_touches,home_MC_lost,home_MC_rate,home_MC_fouls,home_MC_blocks,home_FW_name,home_FW_assistence,home_FW_won_contest,home_FW_tackles,home_FW_goals,home_FW_red_card,home_FW_yellow_card,home_FW_touches,home_FW_lost,home_FW_rate,home_FW_fouls,home_FW_blocks,home_Sub_name,home_Sub_assistence,home_Sub_won_contest,home_Sub_tackles,home_Sub_goals,home_Sub_red_card,home_Sub_yellow_card,home_Sub_touches,home_Sub_lost,home_Sub_rate,home_Sub_fouls,home_Sub_blocks,home_AMC_name,home_AMC_assistence,home_AMC_won_contest,home_AMC_tackles,home_AMC_goals,home_AMC_red_card,home_AMC_yellow_card,home_AMC_touches,home_AMC_lost,home_AMC_rate,home_AMC_fouls,home_AMC_blocks,home_AMR_name,home_AMR_assistence,home_AMR_won_contest,home_AMR_tackles,home_AMR_goals,home_AMR_red_card,home_AMR_yellow_card,home_AMR_touches,home_AMR_lost,home_AMR_rate,home_AMR_fouls,home_AMR_blocks,home_AML_name,home_AML_assistence,home_AML_won_contest,home_AML_tackles,home_AML_goals,home_AML_red_card,home_AML_yellow_card,home_AML_touches,home_AML_lost,home_AML_rate,home_AML_fouls,home_AML_blocks,home_DMR_name,home_DMR_assistence,home_DMR_won_contest,home_DMR_tackles,home_DMR_goals,home_DMR_red_card,home_DMR_yellow_card,home_DMR_touches,home_DMR_lost,home_DMR_rate,home_DMR_fouls,home_DMR_blocks,home_DML_name,home_DML_assistence,home_DML_won_contest,home_DML_tackles,home_DML_goals,home_DML_red_card,home_DML_yellow_card,home_DML_touches,home_DML_lost,home_DML_rate,home_DML_fouls,home_DML_blocks,home_FWR_name,home_FWR_assistence,home_FWR_won_contest,home_FWR_tackles,home_FWR_goals,home_FWR_red_card,home_FWR_yellow_card,home_FWR_touches,home_FWR_lost,home_FWR_rate,home_FWR_fouls,home_FWR_blocks,home_FWL_name,home_FWL_assistence,home_FWL_won_contest,home_FWL_tackles,home_FWL_goals,home_FWL_red_card,home_FWL_yellow_card,home_FWL_touches,home_FWL_lost,home_FWL_rate,home_FWL_fouls,home_FWL_blocks
332,14-15,Burnley,Swansea,0 : 0,0 : 1,A,Tom Heaton,,,,,,,29,,6.25,,3,Michael Keane,,,,,,,54,,6.73,1,,Kieran Trippier,,,1,,,,85,1,6.9,,,Ben Mee,,,3,,,,59,4,6.42,2,,,,,,,,,,,,,,Michael Kightly,,3,6,,,,39,,7.14,,,George Boyd,,1,1,,,,29,2,6.54,3,,Scott Arfield,,1,3,,,,58,1,6.44,1,,Danny Ings,,,1,,,,37,1,5.96,,,Michael Duff,,,,,,,,,0,,,Ashley Barnes,,,2,,,,52,4,7.26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,14-15,West Bromwich Albion,Swansea,0 : 0,2 : 0,H,Ben Foster,,,,,,,33,,7.36,,3,Gareth McAuley,,,1,,,,25,,6.98,,,Craig Dawson,,,6,,,,59,1,8.32,2,,Chris Brunt,,2,,,,,60,,7.18,2,,Darren Fletcher,,,1,,,,51,1,6.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown Ideye,1,3,1,1,,1,44,6,8.67,1,,Boaz Myhill,,,,,,,,,0,,,Saido Berahino,,,1,1,,,50,1,7.79,,,James Morrison,,1,1,,,,39,1,7.17,1,,Callum McManaman,,4,1,,,1,34,2,7.01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,14-15,Manchester City,Hull,0 : 1,1 : 1,D,Joe Hart,,,,,,,23,,6.47,,2,Vincent Kompany,,,2,,,,86,,6.67,1,,Pablo Zabaleta,,,3,,,,106,1,6.98,1,,Gael Clichy,,,,,,,104,1,7.06,,,,,,,,,,,,,,,David Silva,,1,1,,,,79,1,6.23,1,,Samir Nasri,,1,1,,,1,102,1,6.83,,,Fernando,,,,,,,32,2,6.15,,,Edin Dzeko,,1,1,,,,45,1,7.39,,,Stevan Jovetic,,,,,,,19,,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,14-15,Stoke,Liverpool,5 : 0,6 : 1,H,Asmir Begovic,,,,,,,51,,7.25,,3,Ryan Shawcross,,,,,,1,37,3,7.49,2,,Geoff Cameron,,1,4,,,,63,,7.3,1,,Erik Pieters,,1,3,,,1,78,,7.74,2,,Glenn Whelan,,,1,,,1,69,,7.36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mame Biram Diouf,1,,1,2,,,26,2,9.75,1,,Philipp Wollscheid,,,,,,,,,0,,,Charlie Adam,,1,4,1,,1,78,,8.46,2,,Jonathan Walters,,,,1,,,29,9,7.64,,,Marko Arnautovic,2,4,1,,,,48,,8.28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,14-15,Leicester,Chelsea,1 : 0,1 : 3,A,Kasper Schmeichel,,,,,,,31,,5.91,,1,Robert Huth,,,,,,,6,1,6.32,,,Marc Albrighton,,,5,1,,,59,1,8.02,,,Paul Konchesky,,1,,,,1,33,1,5.93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Drinkwater,,,3,,,,76,2,6.12,2,,Jamie Vardy,1,,,,,,25,5,6.81,1,,Riyad Mahrez,,,,,,,5,2,5.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,14-15,Hull,Newcastle United,0 : 1,0 : 3,A,Allan McGregor,,,,,,,24,,5.32,,2,Curtis Davies,,1,2,,,,52,,6.77,1,,Ahmed El Mohamady,,2,4,,,1,93,1,6.78,2,,Andrew Robertson,,2,2,,,1,50,1,5.73,2,,,,,,,,,,,,,,Gastón Ramírez,,3,6,,,,69,1,7.39,2,,David Meyler,,,2,,,1,47,6,6.4,1,,Tom Huddlestone,,,3,,,,82,3,6.35,1,,Abel Hernandez,,1,,,,,39,1,5.9,,,Robbie Brady,,,1,,,,13,1,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,14-15,Chelsea,Everton,0 : 0,1 : 0,H,Petr Cech,,,,,,,22,,7.28,,4,John Terry,,,,,,,41,1,6.94,,,Branislav Ivanovic,,1,2,,,,74,3,7.43,,,César Azpilicueta,,,2,,,1,51,,6.83,1,,Nemanja Matic,,7,1,,,,82,,8.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loïc Remy,,,,,,,34,1,6.51,1,,Gary Cahill,,,,,,,,,6.03,,,Willian,,1,,1,,,87,1,8.08,2,,Juan Cuadrado,,1,2,,,,65,,6.94,1,,Eden Hazard,,2,1,,,,97,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,14-15,Newcastle United,Stoke,0 : 0,1 : 1,D,Tim Krul,,,,,,,36,,6.4,,2,Mike Williamson,,,,,,,41,1,7.18,,,Daryl Janmaat,,1,1,,,,47,4,6.45,1,,Massadio Haidara,,2,3,,,,61,4,7.45,,,Jack Colback,,2,2,1,,1,60,3,8.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayoze Pérez,,4,,,,,36,3,6.63,,,Freddie Woodman,,,,,,,,,0,,,Moussa Sissoko,1,1,,,,,46,4,7.32,1,,Rémy Cabella,,1,3,,,,47,1,6.62,2,,Sammy Ameobi,,4,2,,,1,57,8,7.92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,14-15,Liverpool,Manchester City,1 : 1,2 : 1,H,Simon Mignolet,,,,,,,34,,5.83,,,Dejan Lovren,,,5,,,,73,1,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Moreno,,,2,,,,50,,6.48,1,,Lazar Markovic,,2,2,,,,56,2,7.04,1,,Jordan Henderson,,,4,1,,,77,,8.01,,,Raheem Sterling,2,2,2,,,,48,2,7.69,2,,Rickie Lambert,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Lallana,,,2,,,1,48,2,6.64,2,,Philippe Coutinho,,4,3,1,,,76,1,8.32,,
341,14-15,Liverpool,West Ham,0 : 0,2 : 0,H,Simon Mignolet,,,,,,,32,,7.45,,2,Mamadou Sakho,,2,1,,,,80,2,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Moreno,,,5,,,,60,,7.2,1,,Lazar Markovic,,,3,,,,60,,6.57,2,,Jordan Henderson,,,4,,,,100,2,7.36,,,Raheem Sterling,,7,1,1,,1,63,,8.61,1,,Glen Johnson,,,,,,,,,0,,,Philippe Coutinho,2,3,,,,,69,1,8.46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,14-15,Stoke,Manchester City,1 : 1,1 : 4,A,Asmir Begovic,,,,,,,34,,6.37,,4,Philipp Wollscheid,,,2,,,,49,2,5.96,,,Geoff Cameron,,,2,,,,74,,5.83,1,,Phil Bardsley,,,1,,,,70,,6.12,,,Glenn Whelan,,,1,,,,59,1,5.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Crouch,,1,,1,,,53,3,7.63,1,,Dionatan Teixeira,,,,,,,,,0,,,Mame Biram Diouf,,1,1,,,,36,1,6.15,2,,Marko Arnautovic,1,5,1,,,1,50,,7.36,1,,Victor Moses,,7,,,,,55,1,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,14-15,Queens Park Rangers,Southampton,0 : 0,0 : 1,A,Robert Green,,,,,,,48,,6.52,,4,Steven Caulker,,1,1,,,,60,1,7.77,,,Nedum Onuoha,,1,4,,,,67,,6.59,3,,Clint Hill,,,,,,1,41,1,6.82,4,,,,,,,,,,,,,,Armand Traore,,,1,,,,23,1,6.16,1,,Matt Phillips,,3,,,,,54,2,6.38,1,,Joey Barton,,,4,,,1,79,2,7.01,2,,Charlie Austin,,,,,,,39,9,5.91,,,Karl Henry,,,,,,,,,0,,,Adel Taarabt,,4,1,,,,48,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,14-15,Manchester United,Sunderland,0 : 0,2 : 0,H,David de Gea,,,,,,,32,,7,,3,Jonny Evans,,1,3,,,,67,,7.4,,,Antonio Valencia,,1,3,,,1,91,,7.61,1,,Marcos Rojo,,,,,,,72,2,6.81,,,Ander Herrera,,2,4,,,,115,2,7.77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falcao,,2,,,,,26,2,7.07,,,Juan Mata,,,,,,,15,,6.05,,,Wayne Rooney,,1,,2,,,54,1,8.13,,,angel Di María,,,,,,,40,,6.44,,,Ashley Young,,2,2,,,,62,1,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,14-15,Manchester United,Leicester,3 : 0,3 : 1,H,David de Gea,,,,,,,37,,6.16,,,Phil Jones,,,,,,,101,,7.25,1,,Antonio Valencia,,,1,,,,52,1,6.64,2,,Luke Shaw,,,,,,,74,2,7.57,1,,Daley Blind,1,,3,,,,122,2,8.69,1,,,,,,,,,,,,,,,,,,,,,,,,,,Wayne Rooney,,1,2,,,,132,3,7.13,,,Robin van Persie,,1,,1,,,31,3,8.24,,,Chris Smalling,,,,,,,,,0,,,angel Di María,,4,,,,,77,1,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,14-15,Sunderland,Queens Park Rangers,0 : 2,0 : 2,A,Costel Pantilimon,,,1,,,,41,,6.49,,2,John OShea,,2,,,,,56,1,6.39,1,,Anthony Réveillere,,,1,,,,37,,5.88,1,,Patrick van Aanholt,,3,6,,,,98,2,7.22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastian Larsson,,1,2,,,1,79,1,6.93,1,,Jermain Defoe,,,,,,,21,1,5.77,,,Danny Graham,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Johnson,,3,,,,,64,,7.63,,,Connor Wickham,,4,1,,,,60,2,6.97,1,
347,14-15,Swansea,Sunderland,0 : 1,1 : 1,D,Lukasz Fabianski,,,,,,,23,,5.65,,,Ashley Williams,,,1,,,,66,,7.3,,,Kyle Naughton,1,,4,,,1,102,2,7.48,1,,Neil Taylor,,,1,,,,52,,6.52,1,,Ki Sung-yueng,,,1,1,,,68,,7.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bafétimbi Gomis,,2,1,,,,47,3,6.55,1,,Jay Fulton,,,,,,,,,0,,,Jonjo Shelvey,,1,1,,,,69,2,7.38,,,Modou Barrow,,,1,,,,26,,6.32,2,,Nathan Dyer,,2,1,,,1,69,1,6.66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,14-15,Newcastle United,Aston Villa,1 : 0,1 : 0,H,Tim Krul,,,,,,,47,,7.83,,3,Mike Williamson,,,2,,,1,48,4,8.15,1,,Daryl Janmaat,1,,4,,,,70,3,8.18,,,Massadio Haidara,,,1,,,,31,,6.99,1,,,,,,,,,,,,,,Sammy Ameobi,,3,2,,,,64,7,7.63,1,,Gabriel Obertan,,1,,,,,41,6,6.45,1,,Mehdi Abeid,,1,,,,,57,1,6.66,1,,Emmanuel Rivière,,,1,,,,29,7,6.68,,,Adam Armstrong,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,14-15,Southampton,Swansea,0 : 0,0 : 1,A,Fraser Forster,,,,,,,28,,5.74,,,Maya Yoshida,,,,,,1,88,,6.24,4,,Nathaniel Clyne,,1,1,,,,93,,6.34,,,Ryan Bertrand,,4,2,,1,,107,1,6.31,2,,Steven Davis,,,2,,,,93,2,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graziano Pellè,,,,,,,48,3,6.72,1,,Ryan Seager,,,,,,,2,,6.08,,,James Ward-Prowse,,,1,,,,69,,6.92,,,Dusan Tadic,,,1,,,,72,,6.32,,,Eljero Elia,,4,1,,,,63,1,7.34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,14-15,Aston Villa,Stoke,1 : 1,1 : 2,A,Brad Guzan,,,,,,,45,,6.51,,4,Ron Vlaar,,,,,1,,53,2,5.37,2,,Alan Hutton,,2,,,,,58,,6.34,1,,Kieran Richardson,,,1,,,,28,1,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Sanchez,,,4,,,1,63,8,6.78,3,,Christian Benteke,,1,,,,,53,12,7.15,2,,Jores Okore,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scott Sinclair,,,1,1,,,39,1,7.25,,,Gabriel Agbonlahor,,,1,,,,22,6,6.34,,
351,14-15,Tottenham,Arsenal,0 : 1,2 : 1,H,Hugo Lloris,,,,,,,24,,6.58,,2,Eric Dier,,,1,,,,60,3,6.74,1,,Kyle Walker,,1,4,,,,72,1,7.6,1,,Danny Rose,,,1,,,,80,,7.36,1,,Ryan Mason,,1,4,,,1,89,2,6.93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry Kane,,1,,2,,1,40,8,8.39,1,,Roberto Soldado,,,,,,,,,0,,,Mousa Dembélé,,3,,,,,55,4,7.45,1,,Erik Lamela,,,4,,,,59,8,6.84,,,Christian Eriksen,,2,2,,,,83,1,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,14-15,Queens Park Rangers,Tottenham,0 : 1,1 : 2,A,Robert Green,,,,,,,49,,6.02,,3,Rio Ferdinand,,,5,,,,31,1,6.78,,,Nedum Onuoha,,2,6,,,,62,,7.45,1,,Yun Suk-Young,,,3,,,,65,1,6.61,2,,,,,,,,,,,,,,Matt Phillips,,,1,,,,48,3,6.5,,,Mauricio Isla,,2,3,,,,29,1,6.76,,,Sandro,,,4,1,,,32,1,7.56,2,,Charlie Austin,,1,,,,,41,6,7.92,1,,David Junior Hoilett,,,,,,,11,,5.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,14-15,Stoke,Queens Park Rangers,2 : 1,3 : 1,H,Asmir Begovic,,,,,,,40,,6.69,,3,Philipp Wollscheid,,,4,,,,54,1,7.03,1,,Phil Bardsley,,1,1,,,,68,2,7.28,,,Marc Wilson,,,,,,,56,,6.35,,,Steven NZonzi,,2,3,,,,67,,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Walters,,,2,3,,1,41,5,9.94,1,,Charlie Adam,,,1,,,,7,,6.18,1,,Stephen Ireland,2,,,,,,39,1,7.25,,,Marko Arnautovic,,2,1,,,,26,1,6.36,1,,Victor Moses,,4,4,,,1,64,2,7.62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14-15,Chelsea,Burnley,1 : 0,1 : 1,D,Thibaut Courtois,,,,,,,51,,7.25,,4,Kurt Zouma,,1,1,,,,61,,7.78,2,,Branislav Ivanovic,,2,1,1,,1,65,1,7.36,,,Filipe Luis,,1,9,,,,95,,8.15,,,Nemanja Matic,,,4,,1,,64,,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Costa,,1,2,,,,44,5,6.54,3,,Gary Cahill,,,,,,,,,0,,,Oscar,,2,,,,,66,,7.02,2,,Juan Cuadrado,,,1,,,,53,2,6.72,,,Eden Hazard,1,7,2,,,,103,1,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,14-15,West Ham,Manchester United,0 : 0,1 : 1,D,Adrian,,,,,,1,34,,7.29,,5,Cheikhou Kouyaté,,1,3,1,,,45,2,9.14,1,,Carl Jenkinson,,,,,,,51,1,5.62,,,Aaron Cresswell,,,,,,,56,2,7.16,,,Alexandre Song,,1,4,,,1,63,1,7.25,5,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Nolan,,,3,,,,40,2,7.01,,,Enner Valencia,,,2,,,,42,4,7.05,1,,Morgan Amalfitano,,,,,,,,,0,,,Stewart Downing,,1,2,,,,46,3,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,14-15,Stoke,Hull,0 : 0,1 : 0,H,Asmir Begovic,,,,,,,33,,6.78,,,Philipp Wollscheid,,,1,,,,68,1,7.07,,,Phil Bardsley,,,1,,,,69,3,6.73,,,Erik Pieters,,,1,,,1,92,1,7.28,2,,Steven NZonzi,,,4,,,,74,2,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mame Biram Diouf,,,,,,,15,4,6.18,,,Peter Crouch,,,,1,,,11,1,7.24,1,,Stephen Ireland,,,2,,,,27,1,6.5,1,,Jonathan Walters,,1,,,,,45,8,6.88,1,,Victor Moses,,4,1,,,1,61,1,7.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,14-15,Sunderland,Burnley,2 : 0,2 : 0,H,Costel Pantilimon,,,,,,1,55,,7.56,,4,John OShea,,1,4,,,,54,2,8.01,2,,Anthony Réveillere,1,1,,,,,63,2,7.61,,,Patrick van Aanholt,1,3,3,,,,81,1,9.01,1,,Liam Bridcutt,,1,2,,,,58,2,7,2,,Adam Johnson,,2,1,,,1,49,1,6.8,1,,Connor Wickham,,1,2,1,,,49,6,7.64,1,,Sebastian Larsson,,,,,,1,59,,7.02,4,,Jermain Defoe,,1,,1,,,27,1,7.47,,,Billy Jones,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,14-15,Crystal Palace,Arsenal,0 : 2,1 : 2,A,Julian Speroni,,,,,,,33,,6.25,,2,Scott Dann,,,2,,,,52,10,6.82,,,Joel Ward,,,3,,,,69,4,6.29,4,,Pape Souaré,,1,4,,,,71,,6.34,2,,Joe Ledley,,,1,,,,39,,6.49,2,,Dwight Gayle,,1,3,,,,49,5,6.55,,,Wilfried Zaha,,2,,,,,57,,6.88,5,,Jason Puncheon,,2,4,,,,83,1,7.08,1,,Fraizer Campbell,,2,1,,,,28,4,6.67,,,Yannick Bolasie,,3,,,,,25,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,14-15,Arsenal,Leicester,2 : 0,2 : 1,H,David Ospina,,,,,,,35,,6.97,,3,Per Mertesacker,,,,,,,54,1,6.84,,,Héctor Bellerín,,1,2,,,,49,1,6.99,1,,Nacho Monreal,,1,,,,,74,2,7.09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santi Cazorla,,,1,,,,113,1,6.83,1,,Alexis Sanchez,,1,1,,,,42,,6.72,,,Gabriel Paulista,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theo Walcott,,,,1,,,16,,7.2,,,Mesut Özil,1,2,1,,,,94,,8.41,1,
360,14-15,West Bromwich Albion,Southampton,1 : 0,1 : 0,H,Ben Foster,,,,,,1,38,,7.01,,2,Gareth McAuley,,,1,,,,19,,7.12,1,,Craig Dawson,,,1,,,,49,5,7.25,,,Chris Brunt,,,2,,,,46,,7.01,1,,,,,,,,,,,,,,Craig Gardner,,1,1,,,,53,2,7.12,3,,James Morrison,,2,1,,,,55,,6.72,,,Darren Fletcher,,1,1,,,,53,1,7.27,1,,Brown Ideye,,,1,,,,32,4,6.6,2,,Jonas Olsson,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,14-15,West Bromwich Albion,Tottenham,0 : 2,0 : 3,A,Ben Foster,,,,,,,31,,5.18,,1,Gareth McAuley,,,2,,,,42,,6.28,,,Andre Wisdom,,,,,,,47,,5.87,,,Joleon Lescott,,,3,,,,47,1,6.06,1,,,,,,,,,,,,,,Chris Brunt,,2,3,,,,59,2,6.94,1,,Callum McManaman,,1,,,,,29,1,5.74,1,,James Morrison,,,7,,,,68,,7.28,,,Victor Anichebe,,1,,,,,33,2,6.16,1,,Brown Ideye,,,,,,,5,1,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,14-15,Everton,Leicester,0 : 0,2 : 2,D,Tim Howard,,,,,,,39,,4.82,,2,Phil Jagielka,,,2,,,,84,2,7.23,,,Seamus Coleman,,1,3,,,,74,,6.6,1,,Leighton Baines,,,,,,,77,,6.37,1,,Muhamed Besic,,2,8,,,,61,1,7.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romelu Lukaku,1,1,,,,,47,3,6.84,1,,Darron Gibson,,,,,,,42,,6.75,1,,Ross Barkley,,,,,,,42,1,6.06,,,Aaron Lennon,,1,2,,,,38,1,6.54,,,Steven Naismith,,,2,1,,,49,2,8.07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,14-15,Hull,Aston Villa,1 : 0,2 : 0,H,Allan McGregor,,,,,,,32,,7.47,,4,Michael Dawson,,,1,,,1,34,1,7.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Huddlestone,,,2,,,,49,,7.21,,,Dame NDoye,1,1,,1,,,50,4,8.17,5,,Stephen Quinn,,,,,,,1,,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed El Mohamady,,1,2,,,,78,2,7.83,1,,Robbie Brady,,1,,,,,48,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,
364,14-15,West Ham,Crystal Palace,0 : 1,1 : 3,A,Adrian,,,,,,,36,,5.57,,2,James Tomkins,,,3,,,1,69,2,7.1,1,,Carl Jenkinson,,1,1,,,,58,2,6.67,,,Aaron Cresswell,,,1,,,,47,,6.28,2,,Alexandre Song,,,3,,,,46,1,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Noble,,1,2,,,,91,1,7.46,3,,Enner Valencia,,2,2,1,,1,55,5,7.42,1,,Nenê,,,1,,,,32,,6.79,,,Stewart Downing,1,1,1,,,,67,1,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
