_key,season,home_team_name,away_team_name,half_time_score,full_time_score,full_time_result,home_GK_name,home_GK_assistence,home_GK_won_contest,home_GK_tackles,home_GK_goals,home_GK_red_card,home_GK_yellow_card,home_GK_touches,home_GK_lost,home_GK_rate,home_GK_fouls,home_GK_blocks,home_DC_name,home_DC_assistence,home_DC_won_contest,home_DC_tackles,home_DC_goals,home_DC_red_card,home_DC_yellow_card,home_DC_touches,home_DC_lost,home_DC_rate,home_DC_fouls,home_DC_blocks,home_DR_name,home_DR_assistence,home_DR_won_contest,home_DR_tackles,home_DR_goals,home_DR_red_card,home_DR_yellow_card,home_DR_touches,home_DR_lost,home_DR_rate,home_DR_fouls,home_DR_blocks,home_DL_name,home_DL_assistence,home_DL_won_contest,home_DL_tackles,home_DL_goals,home_DL_red_card,home_DL_yellow_card,home_DL_touches,home_DL_lost,home_DL_rate,home_DL_fouls,home_DL_blocks,home_DMC_name,home_DMC_assistence,home_DMC_won_contest,home_DMC_tackles,home_DMC_goals,home_DMC_red_card,home_DMC_yellow_card,home_DMC_touches,home_DMC_lost,home_DMC_rate,home_DMC_fouls,home_DMC_blocks,home_ML_name,home_ML_assistence,home_ML_won_contest,home_ML_tackles,home_ML_goals,home_ML_red_card,home_ML_yellow_card,home_ML_touches,home_ML_lost,home_ML_rate,home_ML_fouls,home_ML_blocks,home_MR_name,home_MR_assistence,home_MR_won_contest,home_MR_tackles,home_MR_goals,home_MR_red_card,home_MR_yellow_card,home_MR_touches,home_MR_lost,home_MR_rate,home_MR_fouls,home_MR_blocks,home_MC_name,home_MC_assistence,home_MC_won_contest,home_MC_tackles,home_MC_goals,home_MC_red_card,home_MC_yellow_card,home_MC_touches,home_MC_lost,home_MC_rate,home_MC_fouls,home_MC_blocks,home_FW_name,home_FW_assistence,home_FW_won_contest,home_FW_tackles,home_FW_goals,home_FW_red_card,home_FW_yellow_card,home_FW_touches,home_FW_lost,home_FW_rate,home_FW_fouls,home_FW_blocks,home_Sub_name,home_Sub_assistence,home_Sub_won_contest,home_Sub_tackles,home_Sub_goals,home_Sub_red_card,home_Sub_yellow_card,home_Sub_touches,home_Sub_lost,home_Sub_rate,home_Sub_fouls,home_Sub_blocks,home_AMC_name,home_AMC_assistence,home_AMC_won_contest,home_AMC_tackles,home_AMC_goals,home_AMC_red_card,home_AMC_yellow_card,home_AMC_touches,home_AMC_lost,home_AMC_rate,home_AMC_fouls,home_AMC_blocks,home_AMR_name,home_AMR_assistence,home_AMR_won_contest,home_AMR_tackles,home_AMR_goals,home_AMR_red_card,home_AMR_yellow_card,home_AMR_touches,home_AMR_lost,home_AMR_rate,home_AMR_fouls,home_AMR_blocks,home_AML_name,home_AML_assistence,home_AML_won_contest,home_AML_tackles,home_AML_goals,home_AML_red_card,home_AML_yellow_card,home_AML_touches,home_AML_lost,home_AML_rate,home_AML_fouls,home_AML_blocks,home_DMR_name,home_DMR_assistence,home_DMR_won_contest,home_DMR_tackles,home_DMR_goals,home_DMR_red_card,home_DMR_yellow_card,home_DMR_touches,home_DMR_lost,home_DMR_rate,home_DMR_fouls,home_DMR_blocks,home_DML_name,home_DML_assistence,home_DML_won_contest,home_DML_tackles,home_DML_goals,home_DML_red_card,home_DML_yellow_card,home_DML_touches,home_DML_lost,home_DML_rate,home_DML_fouls,home_DML_blocks,home_FWR_name,home_FWR_assistence,home_FWR_won_contest,home_FWR_tackles,home_FWR_goals,home_FWR_red_card,home_FWR_yellow_card,home_FWR_touches,home_FWR_lost,home_FWR_rate,home_FWR_fouls,home_FWR_blocks,home_FWL_name,home_FWL_assistence,home_FWL_won_contest,home_FWL_tackles,home_FWL_goals,home_FWL_red_card,home_FWL_yellow_card,home_FWL_touches,home_FWL_lost,home_FWL_rate,home_FWL_fouls,home_FWL_blocks
10,14-15,Aston Villa,Newcastle United,0 : 0,0 : 0,D,Brad Guzan,,,,,,,37,,7.6,,4,Ron Vlaar,,1,2,,,,37,1,7.19,,,Alan Hutton,,1,3,,,,63,,7.28,,,Aly Cissokho,,,2,,,,52,,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kieran Richardson,,,4,,,,39,1,6.87,1,,Gabriel Agbonlahor,,1,,,,,26,6,6.32,4,,Leandro Bacuna,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles NZogbia,,,1,,,1,34,3,5.97,2,,Andreas Weimann,,,3,,,1,38,1,6.25,1,
11,14-15,Chelsea,Leicester,0 : 0,2 : 0,H,Thibaut Courtois,,,,,,,29,,7.35,,4,Gary Cahill,,,,,,,55,2,7.91,,,Branislav Ivanovic,,3,1,,,,69,2,8.68,1,,César Azpilicueta,,,5,,,,85,5,8.15,1,,Cesc Fàbregas,1,2,1,,,,99,2,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diego Costa,,,,1,,,35,,7.71,,,Didier Drogba,,,,,,,11,,6.01,1,,Oscar,,2,5,,,,67,,8.04,1,,André Schürrle,,2,2,,,,46,1,6.77,3,,Eden Hazard,,6,,1,,,80,2,9.14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14-15,Crystal Palace,West Ham,0 : 2,1 : 3,A,Julian Speroni,,,,,,,38,,6.61,,5,Brede Hangeland,,,,,,,37,2,6.38,1,,Martin Kelly,,2,5,,,,58,1,7.16,2,,Joel Ward,,1,6,,,,75,2,6.59,2,,,,,,,,,,,,,,Yannick Bolasie,,,,,,,53,1,5.89,2,,Barry Bannan,,2,2,,,,46,1,6.62,,,Stuart OKeefe,,,3,,,,41,,6.38,3,,Fraizer Campbell,,1,2,,,,24,2,6.53,,,Glenn Murray,,1,,,,,5,3,6.12,,,Marouane Chamakh,,,1,1,,,73,10,7.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14-15,Everton,Arsenal,2 : 0,2 : 2,D,Tim Howard,,,,,,,46,,5.96,,1,Phil Jagielka,,,2,,,,75,1,7.14,,,Seamus Coleman,,1,3,1,,,55,,7.08,1,,Leighton Baines,,2,3,,,1,79,,6.92,2,,Gareth Barry,1,,3,,,,69,,7.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romelu Lukaku,1,2,,,,,27,3,7.61,,,Joel Robles,,,,,,,,,0,,,Steven Naismith,,,1,1,,,33,3,7.51,1,,Kevin Mirallas,,,2,,,,37,1,6.56,,,Steven Pienaar,,,,,,,6,1,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14-15,Hull,Stoke,1 : 0,1 : 1,D,Allan McGregor,,,,,,,42,,6.38,,2,Curtis Davies,,1,1,,,,39,3,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephen Quinn,,1,3,,,,70,1,6.96,,,Tom Ince,,,,,,,17,1,6.49,,,David Meyler,,,,,,,6,2,6.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmed El Mohamady,,2,2,,,,73,6,6.81,1,,Andrew Robertson,,1,4,,,1,65,,7.1,2,,,,,,,,,,,,,,,,,,,,,,,,,
15,14-15,Manchester City,Liverpool,1 : 0,3 : 1,H,Joe Hart,,,,,,,35,,7.48,,3,Martín Demichelis,,,1,,,,55,,6.9,1,,Pablo Zabaleta,,,4,,,,59,,5.86,1,,Gael Clichy,,1,2,,,,95,1,7.07,1,,,,,,,,,,,,,,David Silva,,,,,,,60,,6.16,,,Samir Nasri,1,1,1,,,,88,1,7.36,2,,Fernando,,,2,,,,75,1,6.85,3,,Edin Dzeko,,,1,,,,34,1,6.92,2,,Fernandinho,,,2,,,,17,,6.36,,,Stevan Jovetic,,1,,2,,,51,1,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14-15,Southampton,West Bromwich Albion,0 : 0,0 : 0,D,Fraser Forster,,,,,,,39,,7.55,,2,José Fonte,,,1,,,,80,,7.08,1,,Nathaniel Clyne,,,4,,,1,85,1,6.89,1,,Ryan Bertrand,,,2,,,,77,,7.15,1,,Victor Wanyama,,1,2,,,,62,,6.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graziano Pellè,,,,,,,39,7,6.29,3,,Kelvin Davis,,,,,,,,,0,,,James Ward-Prowse,,,2,,,,33,1,6.79,2,,Steven Davis,,,,,,,34,,6.28,,,Dusan Tadic,,2,2,,,,66,,7.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14-15,Sunderland,Manchester United,1 : 1,1 : 1,D,Vito Mannone,,,,,,,50,,6.84,,2,John OShea,,,2,,,,67,1,6.45,1,,Santiago Vergini,,,1,,,,65,2,7.25,1,,Patrick van Aanholt,,,2,,,,63,1,6.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Rodwell,,,3,1,,,27,1,7.38,2,,Steven Fletcher,,,,,,,17,2,6.3,1,,Jozy Altidore,,1,,,,,7,,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Buckley,,5,,,,,31,1,7.12,1,,Connor Wickham,,4,,,,,55,,6.9,,
18,14-15,Swansea,Burnley,1 : 0,1 : 0,H,Lukasz Fabianski,,,,,,,56,,8.01,,1,Jordi Amat,,,2,,,,70,2,7.28,1,,Angel Rangel,,,,,,,111,2,7.38,,,Neil Taylor,,,3,,,,72,2,7.24,1,,Ki Sung-yueng,,1,1,,,,70,1,6.99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilfried Bony,,1,,,,,45,2,7.1,,,Josh Sheehan,,,,,,,,,0,,,Gylfi Sigurdsson,1,,,,,1,54,1,6.64,1,,Nathan Dyer,,2,1,1,,,52,2,7.56,,,Wayne Routledge,,1,3,,,,37,1,6.93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,14-15,Tottenham,Queens Park Rangers,3 : 0,4 : 0,H,Hugo Lloris,,,,,,,40,,7.22,,1,Younes Kaboul,,1,1,,,,87,,7.55,,,Eric Dier,,1,7,1,,,76,,8.49,,,Danny Rose,1,,2,,,,86,2,8.34,2,,Nabil Bentaleb,,,1,,,,77,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Adebayor,1,1,,1,,,55,2,8.95,,,Harry Kane,,1,1,,,,18,,6.31,,,Christian Eriksen,,1,3,,,,85,,7.76,,,Erik Lamela,2,5,3,,,,80,1,9.2,2,,Nacer Chadli,,1,,2,,,44,2,8.54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14-15,Aston Villa,Hull,2 : 0,2 : 1,H,Brad Guzan,,,,,,1,43,,6.78,,2,Ron Vlaar,,,,,,,55,,6.17,1,,Alan Hutton,,,1,,,,67,1,6.9,1,,Aly Cissokho,,,1,,,,58,1,7.18,,,,,,,,,,,,,,,Charles NZogbia,,1,3,,,,33,,6.76,1,,Kieran Richardson,1,,1,,,,37,,6.75,1,,Ashley Westwood,,,,,,,63,,6.74,1,,Andreas Weimann,1,1,4,1,,,46,1,8.64,,,Leandro Bacuna,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14-15,Burnley,Manchester United,0 : 0,0 : 0,D,Tom Heaton,,,,,,,35,,6.76,,1,Michael Duff,,,2,,,,41,5,7.25,1,,Kieran Trippier,,1,2,,,,66,,7.1,,,Ben Mee,,,3,,,,71,2,7.44,1,,,,,,,,,,,,,,Matthew Taylor,,,1,,,,36,1,6.73,2,,Scott Arfield,,2,3,,,,54,2,7.2,,,Dean Marney,,,3,,,1,50,,6.98,1,,Danny Ings,,,2,,,,36,,6.31,2,,Steven Reid,,,,,,1,1,,5.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14-15,Everton,Chelsea,1 : 2,3 : 6,A,Tim Howard,,,,,,1,31,,5.23,,3,Phil Jagielka,,1,1,,,,74,,4.75,1,,Seamus Coleman,1,3,2,,,,74,,6.82,1,,Leighton Baines,1,1,2,,,,105,,6.79,,,Gareth Barry,,,1,,,,88,2,5.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romelu Lukaku,,2,,,,,45,3,6.77,1,,Joel Robles,,,,,,,,,0,,,Steven Naismith,,1,3,1,,,66,3,8,,,Kevin Mirallas,,1,2,1,,,82,,7.62,1,,Aiden McGeady,1,1,,,,,40,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14-15,Leicester,Arsenal,1 : 1,1 : 1,D,Kasper Schmeichel,,,,,,,39,,7.04,,5,Wes Morgan,,,1,,,,28,,6.88,,,Ritchie de Laet,,1,4,,,,64,1,8.16,,,Paul Konchesky,,,,,,,57,3,6.42,,,,,,,,,,,,,,,Jeffrey Schlupp,1,2,5,,,,41,2,7.62,1,,Riyad Mahrez,,4,2,,,,44,,7.45,,,Andy King,,1,5,,,,53,,7.47,,,David Nugent,,1,1,,,,33,2,6.47,2,,Ben Hamer,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14-15,Manchester City,Stoke,0 : 0,0 : 1,A,Joe Hart,,,,,,,27,,5.23,,1,Vincent Kompany,,1,1,,,,78,1,6.87,1,,Bacary Sagna,,1,5,,,,68,2,7.15,,,Aleksandar Kolarov,,2,2,,,,71,4,7.3,1,,,,,,,,,,,,,,David Silva,,1,1,,,,98,2,6.8,2,,Samir Nasri,,,,,,,72,1,6.34,,,Fernando,,,,,,,33,,6.24,,,Sergio Agüero,,3,2,,,,52,1,6.5,,,Fernandinho,,,1,,,1,57,,6.25,3,,Stevan Jovetic,,1,,,,,50,2,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14-15,Newcastle United,Crystal Palace,1 : 1,3 : 3,D,Tim Krul,,,,,,,37,,6.72,,4,Mike Williamson,,,1,1,,,58,,7.6,1,,Daryl Janmaat,,2,1,1,,,59,1,7.41,,,Massadio Haidara,,2,3,,,,76,3,7.34,1,,Jack Colback,,,1,,,,74,1,6.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmanuel Rivière,1,1,,,,,38,6,6.73,1,,Paul Dummett,,,,,,,,,0,,,Siem de Jong,,,2,,,,22,5,6.44,,,Rémy Cabella,,1,4,,,,85,3,6.85,2,,Yoan Gouffran,,,2,,,,42,2,6.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
